elapsed_s,power_mA,temperature_C,flow_sccm
317,0.4508,799.4,20.11
318,0.452,799.8,19.92
319,0.4532,799,20.03
320,0.4544,799.5,20.06
321,0.4557,799,20
322,0.4569,800.8,20.02
323,0.4581,799.5,20.04
324,0.4593,799.4,20.02
325,0.4606,799.6,20.06
326,0.4618,799.8,20.04
327,0.463,799.3,20.04
328,0.4642,799.5,20.16
329,0.4654,799.5,20.06
330,0.4667,799,19.9
331,0.4679,799,20.08
332,0.4691,799.4,20.07
333,0.4703,800.2,20.06
334,0.4716,801.1,20.04
335,0.4728,799.4,19.95
336,0.474,799.5,20.06
337,0.4752,799.4,20.03
338,0.4764,799,20
339,0.4777,799.4,20.28
340,0.4789,799.5,20.04
341,0.4801,799.4,20.06
342,0.4813,799.6,19.97
343,0.4826,799.7,20.02
344,0.4838,800.5,20.33
345,0.485,799.5,20.12
346,0.4862,799.2,20.01
347,0.4874,799,20.04
348,0.4887,799.6,20.02
349,0.4899,800.5,20.04
350,0.4911,799.6,20.05
351,0.4923,799.3,20.06
352,0.4936,800.8,20.06
353,0.4948,799.5,20.04
354,0.496,799.4,19.96
355,0.4972,799,20.08
356,0.4984,799,20.04
357,0.4997,801.9,20.09
358,0.5009,800,20
359,0.5021,800.7,20.05
360,0.5033,799.6,20.04
361,0.5046,799,20.04
362,0.5058,799.3,20.04
363,0.507,799.5,19.99
364,0.5082,799.8,20.03
365,0.5094,799,20.02
366,0.5107,799,20.07
367,0.5119,799.5,20.05
368,0.5131,799.5,20.02
369,0.5143,799.6,20
370,0.5156,799,20.06
371,0.5168,799.9,20.04
372,0.518,799.5,20.04
373,0.5192,799.6,20.04
374,0.5204,799.5,20.04
375,0.5217,799.5,20.03
376,0.5229,800.6,20.02
377,0.5241,799.4,20.04
378,0.5253,799.4,20.01
379,0.5266,799.6,19.59
380,0.5278,799.8,20.28
381,0.529,799.4,20
382,0.5302,799.5,20
383,0.5314,799.2,19.95
384,0.5327,800.5,19.99
385,0.5339,799,20.08
386,0.5351,799,20.03
387,0.5363,801,20.06
388,0.5376,799.5,20.06
389,0.5388,800.2,20.18
390,0.54,799.5,19.94
391,0.5412,801.8,19.94
392,0.5424,799.7,19.95
393,0.5437,801.1,20.09
394,0.5449,802,20.08
395,0.5461,801.9,20.03
396,0.5473,803,19.47
