elapsed_s,temperature_C
684,799.6
687,799.6
690,799.6
693,799.6
696,799.6
699,799.6
702,799.6
705,799.6
708.1,799.6
711.1,799.6
714.1,799.6
717.1,799.6
720.1,799.6
723.1,799.6
726.1,799.6
729.1,799.6
732.2,799.6
735.2,799.6
738.2,799.6
741.2,799.6
744.2,799.6
747.2,799.6
750.2,799.6
753.3,799.6
756.3,799.6
759.3,799.6
762.3,799.6
765.3,799.6
768.3,799.6
771.3,799.6
774.3,799.6
777.4,799.6
780.4,799.6
783.4,799.6
786.4,799.6
789.4,799.6
792.4,799.6
795.4,799.6
798.4,799.6
801.5,799.6
804.5,799.6
807.5,799.6
810.5,799.6
813.5,799.6
816.5,799.6
819.5,799.6
822.5,799.6
825.6,799.6
828.6,799.6
831.6,799.6
834.6,799.6
837.6,799.6
840.6,799.6
843.6,799.6
846.7,799.6
849.7,799.6
852.7,799.6
855.7,799.6
858.7,799.6
861.7,799.6
864.7,799.6
867.7,799.6
870.8,799.6
873.8,799.6
876.8,799.6
879.8,799.6
882.8,799.6
885.8,799.6
888.8,799.6
891.8,799.6
894.9,799.6
897.9,799.6
900.9,799.6
903.9,799.6
906.9,799.6
909.9,799.6
912.9,799.6
916,799.6
919,799.6
922,799.6
925,799.6
928,799.6
931,799.6
934,799.6
937,799.6
940.1,799.6
943.1,799.6
946.1,799.6
949.1,799.6
952.1,799.6
955.1,799.6
958.1,799.6
961.1,799.6
964.2,799.6
967.2,799.6
970.2,799.6
973.2,799.6
976.2,799.6
979.2,799.6
982.2,799.6
985.3,799.6
988.3,799.6
991.3,799.6
994.3,799.6
997.3,799.6
1000,799.6
1003,799.6
1006,799.6
1009,799.6
1012,799.6
1015,799.6
1018,799.6
1021,799.6
1024,799.6
1027,799.6
1030,799.6
1033,799.6
1036,799.6
1039,799.6
1042,799.6
1046,799.6
1049,799.6
1052,799.6
1055,799.6
1058,799.6
1061,799.6
1064,799.6
1067,799.6
1070,799.6
1073,799.6
1076,799.6
1079,799.6
1082,799.6
1085,799.6
1088,799.6
1091,799.6
1094,799.6
1097,799.6
1100,799.6
1103,799.6
1106,799.6
1109,799.6
1112,799.6
1115,799.6
1118,799.6
1121,799.6
1124,799.6
1127,799.6
1130,799.6
1133,799.6
1136,799.6
1139,799.6
1142,799.6
1145,799.6
1148,799.6
1151,799.6
1154,799.6
1157,799.6
1160,799.6
1163,799.6
1166,799.6
1169,799.6
1172,799.6
1175,799.6
1178,799.6
1181,799.6
1184,799.6
1187,799.6
1190,799.6
1193,799.6
1196,799.6
1199,799.6
1202,799.6
1205,799.6
1208,799.6
1211,799.6
1214,799.6
1217,799.6
1220,799.6
1223,799.6
1226,799.6
1229,799.6
1232,799.6
1235,799.6
1238,799.6
1241,799.6
1244,799.6
1247,799.6
1250,799.6
1253,799.6
1256,799.6
1259,799.6
1262,799.6
1265,799.6
1268,799.6
1271,799.6
1274,799.6
1278,799.6
1281,799.6
1284,799.6
1287,799.6
1290,799.6
1293,799.6
1296,799.6
1299,799.6
1302,799.6
1305,799.6
1308,799.6
1311,799.6
1314,799.6
1317,799.6
1320,799.6
1323,799.6
1326,799.6
1329,799.6
1332,799.6
1335,799.6
1338,799.6
1341,799.6
1344,799.6
1347,799.6
1350,799.6
1353,799.6
1356,799.6
1359,799.6
1362,799.6
1365,799.6
1368,799.6
1371,799.6
1374,799.6
1377,799.6
1380,799.6
1383,799.6
1386,799.6
1389,799.6
1392,799.6
1395,799.6
1398,799.6
1401,799.6
1404,800.2
1407,800.9
1410,800.9
1413,800.8
1416,800.6
1419,799.7
1422,799.6
1425,799.6
1428,799.6
1431,799.6
1434,799.6
1437,799.6
1440,799.6
1443,799.6
1446,799.6
1449,799.6
1452,799.6
1455,799.6
1458,799.6
1461,799.6
1464,799.6
1467,799.6
1470,799.6
1473,799.6
1476,799.6
1479,799.6
1482,799.6
1485,799.6
1488,799.6
1491,799.6
1494,799.6
1497,799.6
1500,799.6
1503,799.6
1507,799.6
1510,799.6
1513,799.6
1516,799.6
1519,799.6
1522,799.6
1525,799.6
1528,799.6
1531,799.6
1534,799.6
1537,799.6
1540,799.6
1543,799.6
1546,799.6
1549,799.6
1552,799.6
1555,799.6
1558,799.6
1561,799.6
1564,799.6
1567,799.6
1570,799.6
1573,799.6
1576,799.6
1579,799.6
1582,799.6
1585,799.6
1588,799.6
1591,799.6
1594,799.6
1597,799.6
1600,799.6
1603,799.6
1606,799.6
1609,799.6
