author,agg_score,n_relevant_articles,coauthor_name_collision,affiliations_seen,top_papers
"Meyer, A.",17.4,1,,"Institut für Materialphysik im Weltraum, Deutsches Zentrum für Luft- und Raumfahrt (DLR) , 51170 Köln, Germany",[12] 2024 doi:10.1063/5.0182719 TEMPUS—A microgravity electromagnetic levitation facility for parabolic flights
"Gomez Alvarado, Steven J.",17.4,1,,"Materials Department, University of California 1 , Santa Barbara, California 93106-5050, USA",[12] 2024 doi:10.1063/5.0186528 Advances in high-pressure laser floating zone growth: The Laser Optical Kristallmacher II 
"Jackson, Azzedin",17.4,1,,"Materials Department, University of California 1 , Santa Barbara, California 93106-5050, USA",[12] 2024 doi:10.1063/5.0186528 Advances in high-pressure laser floating zone growth: The Laser Optical Kristallmacher II 
"Kautzsch, Linus",17.4,1,,"Materials Department, University of California 1 , Santa Barbara, California 93106-5050, USA",[12] 2024 doi:10.1063/5.0186528 Advances in high-pressure laser floating zone growth: The Laser Optical Kristallmacher II 
"Plumb, Jayden",17.4,1,,"Department of Mechanical Engineering, University of California 3 , Santa Barbara, California 93106-5050, USA | Materials Department, University of California 1 , Santa Barbara, California 93106-5050, ",[12] 2024 doi:10.1063/5.0186528 Advances in high-pressure laser floating zone growth: The Laser Optical Kristallmacher II 
"Capa Salinas, Andrea N.",17.4,1,,"Materials Department, University of California 1 , Santa Barbara, California 93106-5050, USA",[12] 2024 doi:10.1063/5.0186528 Advances in high-pressure laser floating zone growth: The Laser Optical Kristallmacher II 
"Pokharel, Ganesh",17.4,1,,"Materials Department, University of California 1 , Santa Barbara, California 93106-5050, USA",[12] 2024 doi:10.1063/5.0186528 Advances in high-pressure laser floating zone growth: The Laser Optical Kristallmacher II 
"Pang, Yiming",17.4,1,,"Materials Department, University of California 1 , Santa Barbara, California 93106-5050, USA",[12] 2024 doi:10.1063/5.0186528 Advances in high-pressure laser floating zone growth: The Laser Optical Kristallmacher II 
"Gomez, Reina M.",17.4,1,,"Materials Department, University of California 1 , Santa Barbara, California 93106-5050, USA",[12] 2024 doi:10.1063/5.0186528 Advances in high-pressure laser floating zone growth: The Laser Optical Kristallmacher II 
"Daly, Samantha",17.4,1,,"Department of Mechanical Engineering, University of California 3 , Santa Barbara, California 93106-5050, USA",[12] 2024 doi:10.1063/5.0186528 Advances in high-pressure laser floating zone growth: The Laser Optical Kristallmacher II 
"Chang, J.",17.4,1,,"School of Physical Science and Technology, Northwestern Polytechnical University , Xi’an 710072, People’s Republic of China",[12] 2024 doi:10.1063/5.0191962 Remarkable undercooling capability and metastable thermophysical properties of liquid Nb84
"Wang, H. P.",17.4,1,,"School of Physical Science and Technology, Northwestern Polytechnical University , Xi’an 710072, People’s Republic of China",[12] 2024 doi:10.1063/5.0191962 Remarkable undercooling capability and metastable thermophysical properties of liquid Nb84
"Liao, H.",17.4,1,,"School of Physical Science and Technology, Northwestern Polytechnical University , Xi’an 710072, People’s Republic of China",[12] 2024 doi:10.1063/5.0191962 Remarkable undercooling capability and metastable thermophysical properties of liquid Nb84
"Liu, D. N.",17.4,1,,"School of Physical Science and Technology, Northwestern Polytechnical University , Xi’an 710072, People’s Republic of China",[12] 2024 doi:10.1063/5.0191962 Remarkable undercooling capability and metastable thermophysical properties of liquid Nb84
"Zheng, C. H.",17.4,1,,"School of Physical Science and Technology, Northwestern Polytechnical University , Xi’an 710072, People’s Republic of China",[12] 2024 doi:10.1063/5.0191962 Remarkable undercooling capability and metastable thermophysical properties of liquid Nb84
"Wang, Q.",17.4,1,,"School of Physical Science and Technology, Northwestern Polytechnical University , Xi’an 710072, People’s Republic of China",[12] 2024 doi:10.1063/5.0191962 Remarkable undercooling capability and metastable thermophysical properties of liquid Nb84
"Li, M. X.",17.4,1,,"School of Physical Science and Technology, Northwestern Polytechnical University , Xi’an 710072, People’s Republic of China",[12] 2024 doi:10.1063/5.0191962 Remarkable undercooling capability and metastable thermophysical properties of liquid Nb84
"Zuo, D. D.",17.4,1,,"School of Physical Science and Technology, Northwestern Polytechnical University , Xi’an 710072, People’s Republic of China",[12] 2024 doi:10.1063/5.0191962 Remarkable undercooling capability and metastable thermophysical properties of liquid Nb84
"Wei, B.",17.4,1,,"School of Physical Science and Technology, Northwestern Polytechnical University , Xi’an 710072, People’s Republic of China",[12] 2024 doi:10.1063/5.0191962 Remarkable undercooling capability and metastable thermophysical properties of liquid Nb84
"Friedrich, B.",17.2,1,,"Max Born Institute 2 , Max-Born-Strasse 2A, 12489 Berlin, Germany",[15] 2018 doi:10.1063/1.5027071 Development of a hard X-ray split-and-delay line and performance simulations for two-color
"Noll, T.",17.2,1,,"Max Born Institute 2 , Max-Born-Strasse 2A, 12489 Berlin, Germany",[15] 2018 doi:10.1063/1.5027071 Development of a hard X-ray split-and-delay line and performance simulations for two-color
"Zhou, K.",17.2,1,,"Shanghai Institute of Applied Physics, Chinese Academy of Sciences 3 , 201800 Shanghai, China | University of Chinese Academy of Sciences 4 , 100049 Beijing, China",[15] 2018 doi:10.1063/1.5027071 Development of a hard X-ray split-and-delay line and performance simulations for two-color
"Hallmann, J.",17.2,1,,"European X-Ray Free-Electron Laser Facility 1 , Holzkoppel 4, 22869 Schenefeld, Germany",[15] 2018 doi:10.1063/1.5027071 Development of a hard X-ray split-and-delay line and performance simulations for two-color
"Ansaldi, G.",17.2,1,,"European X-Ray Free-Electron Laser Facility 1 , Holzkoppel 4, 22869 Schenefeld, Germany",[15] 2018 doi:10.1063/1.5027071 Development of a hard X-ray split-and-delay line and performance simulations for two-color
"Roth, T.",17.2,1,,"ESRF—The European Synchrotron 5 , 71 Avenue des Martyrs, 38000 Grenoble, France",[15] 2018 doi:10.1063/1.5027071 Development of a hard X-ray split-and-delay line and performance simulations for two-color
"Serkez, S.",17.2,1,,"European X-Ray Free-Electron Laser Facility 1 , Holzkoppel 4, 22869 Schenefeld, Germany",[15] 2018 doi:10.1063/1.5027071 Development of a hard X-ray split-and-delay line and performance simulations for two-color
"Geloni, G.",17.2,1,,"European X-Ray Free-Electron Laser Facility 1 , Holzkoppel 4, 22869 Schenefeld, Germany",[15] 2018 doi:10.1063/1.5027071 Development of a hard X-ray split-and-delay line and performance simulations for two-color
"Madsen, A.",17.2,1,,"European X-Ray Free-Electron Laser Facility 1 , Holzkoppel 4, 22869 Schenefeld, Germany",[15] 2018 doi:10.1063/1.5027071 Development of a hard X-ray split-and-delay line and performance simulations for two-color
"Eisebitt, S.",17.2,1,,"Insitut für Optik und Atomare Physik, Technische Universität Berlin 6 , 10623 Berlin, Germany | Max Born Institute 2 , Max-Born-Strasse 2A, 12489 Berlin, Germany",[15] 2018 doi:10.1063/1.5027071 Development of a hard X-ray split-and-delay line and performance simulations for two-color
"Sneed, D.",17.1,1,,"Lawrence Livermore National Laboratory 1 , Livermore, California 94550,",[11] 2026 doi:10.1063/5.0332507 A new boron nitride and graphite composite heater for rapid resistive heating in the diamo
"O’Bannon, E. F.",17.1,1,,"Lawrence Livermore National Laboratory 1 , Livermore, California 94550,",[11] 2026 doi:10.1063/5.0332507 A new boron nitride and graphite composite heater for rapid resistive heating in the diamo
"Jacob, S.",17.1,1,,"Lawrence Livermore National Laboratory 1 , Livermore, California 94550,",[11] 2026 doi:10.1063/5.0332507 A new boron nitride and graphite composite heater for rapid resistive heating in the diamo
"Bunn, T.",17.1,1,,"2 Department of Mechanical Engineering, University College London, London WC1E 7JE, United Kingdom",[11] 2026 doi:10.1063/5.0332507 A new boron nitride and graphite composite heater for rapid resistive heating in the diamo
"Bele, E.",17.1,1,,"2 Department of Mechanical Engineering, University College London, London WC1E 7JE, United Kingdom",[11] 2026 doi:10.1063/5.0332507 A new boron nitride and graphite composite heater for rapid resistive heating in the diamo
"Macleod, S.",17.1,1,,"3 AWE Nuclear Security Technologies, Aldermaston, Reading RG7 4PR, United Kingdom",[11] 2026 doi:10.1063/5.0332507 A new boron nitride and graphite composite heater for rapid resistive heating in the diamo
"Somayazulu, Maddury",17.1,1,,"High Pressure Collaborative Access Team (HPCAT), Argonne National Laboratory 1 , Lemont, Illinois 60439,",[11] 2026 doi:10.1063/5.0317317 Hyperspectral radiance mapping and chromatic correction for temperature measurement in las
"Velisavljevic, Nenad",17.1,1,,"Department of Physics, Lawrence Livermore National Laboratory 2 , Livermore, California 94550, | High Pressure Collaborative Access Team (HPCAT), Argonne National Laboratory 1 , Lemont, Illinois 60439",[11] 2026 doi:10.1063/5.0317317 Hyperspectral radiance mapping and chromatic correction for temperature measurement in las
"Mille, N.",16.9,1,,"Laboratoire de Physique et Chimie des Nano-Objets (LPNCO), UMR 5215 Université de Toulouse-INSA-CNRS-UPS 1 , 135 av. de Rangueil, 31077 Toulouse Cedex, France",[13] 2021 doi:10.1063/5.0038912 A setup to measure the temperature-dependent heating power of magnetically heated nanopart
"Faure, S.",16.9,1,,"Laboratoire de Physique et Chimie des Nano-Objets (LPNCO), UMR 5215 Université de Toulouse-INSA-CNRS-UPS 1 , 135 av. de Rangueil, 31077 Toulouse Cedex, France",[13] 2021 doi:10.1063/5.0038912 A setup to measure the temperature-dependent heating power of magnetically heated nanopart
"Estrader, M.",16.9,1,,"Laboratoire de Physique et Chimie des Nano-Objets (LPNCO), UMR 5215 Université de Toulouse-INSA-CNRS-UPS 1 , 135 av. de Rangueil, 31077 Toulouse Cedex, France",[13] 2021 doi:10.1063/5.0038912 A setup to measure the temperature-dependent heating power of magnetically heated nanopart
"Yi, D.",16.9,1,,"Laboratoire de Physique et Chimie des Nano-Objets (LPNCO), UMR 5215 Université de Toulouse-INSA-CNRS-UPS 1 , 135 av. de Rangueil, 31077 Toulouse Cedex, France",[13] 2021 doi:10.1063/5.0038912 A setup to measure the temperature-dependent heating power of magnetically heated nanopart
"Marbaix, J.",16.9,1,,"Laboratoire de Physique et Chimie des Nano-Objets (LPNCO), UMR 5215 Université de Toulouse-INSA-CNRS-UPS 1 , 135 av. de Rangueil, 31077 Toulouse Cedex, France",[13] 2021 doi:10.1063/5.0038912 A setup to measure the temperature-dependent heating power of magnetically heated nanopart
"De Masi, D.",16.9,1,,"Laboratoire de Physique et Chimie des Nano-Objets (LPNCO), UMR 5215 Université de Toulouse-INSA-CNRS-UPS 1 , 135 av. de Rangueil, 31077 Toulouse Cedex, France",[13] 2021 doi:10.1063/5.0038912 A setup to measure the temperature-dependent heating power of magnetically heated nanopart
"Soulantica, K.",16.9,1,,"Laboratoire de Physique et Chimie des Nano-Objets (LPNCO), UMR 5215 Université de Toulouse-INSA-CNRS-UPS 1 , 135 av. de Rangueil, 31077 Toulouse Cedex, France",[13] 2021 doi:10.1063/5.0038912 A setup to measure the temperature-dependent heating power of magnetically heated nanopart
"Millán, A.",16.9,1,,"Instituto de Ciencia de Materiales de Aragón, Facultad de Ciencias 2 , C/ Pedro Cerbuna 12, 50009 Zaragoza, Spain",[13] 2021 doi:10.1063/5.0038912 A setup to measure the temperature-dependent heating power of magnetically heated nanopart
"Chaudret, B.",16.9,1,,"Laboratoire de Physique et Chimie des Nano-Objets (LPNCO), UMR 5215 Université de Toulouse-INSA-CNRS-UPS 1 , 135 av. de Rangueil, 31077 Toulouse Cedex, France",[13] 2021 doi:10.1063/5.0038912 A setup to measure the temperature-dependent heating power of magnetically heated nanopart
"Carrey, J.",16.9,1,,"Laboratoire de Physique et Chimie des Nano-Objets (LPNCO), UMR 5215 Université de Toulouse-INSA-CNRS-UPS 1 , 135 av. de Rangueil, 31077 Toulouse Cedex, France",[13] 2021 doi:10.1063/5.0038912 A setup to measure the temperature-dependent heating power of magnetically heated nanopart
"Nishikawa, D.",16.8,1,,"Depertment of Physics, Faculty of Science and Technology, Keio University 1 , 3-14-1 Hiyoshi, Kohoku-ku, Yokohama, Kanagawa 223-8522, Japan",[12] 2023 doi:10.1063/5.0147899 A two-color dual-comb system for time-resolved measurements of ultrafast magnetization dyn
"Maezawa, K.",16.8,1,,"Depertment of Physics, Faculty of Science and Technology, Keio University 1 , 3-14-1 Hiyoshi, Kohoku-ku, Yokohama, Kanagawa 223-8522, Japan",[12] 2023 doi:10.1063/5.0147899 A two-color dual-comb system for time-resolved measurements of ultrafast magnetization dyn
"Fujii, S.",16.8,1,,"Depertment of Physics, Faculty of Science and Technology, Keio University 1 , 3-14-1 Hiyoshi, Kohoku-ku, Yokohama, Kanagawa 223-8522, Japan",[12] 2023 doi:10.1063/5.0147899 A two-color dual-comb system for time-resolved measurements of ultrafast magnetization dyn
"Okano, M.",16.8,1,,"National Defense Academy 2 , 1-10-20 Hashirimizu, Yokosuka, Kanagawa 239-8686, Japan",[12] 2023 doi:10.1063/5.0147899 A two-color dual-comb system for time-resolved measurements of ultrafast magnetization dyn
"Watanabe, S.",16.8,1,,"Depertment of Physics, Faculty of Science and Technology, Keio University 1 , 3-14-1 Hiyoshi, Kohoku-ku, Yokohama, Kanagawa 223-8522, Japan",[12] 2023 doi:10.1063/5.0147899 A two-color dual-comb system for time-resolved measurements of ultrafast magnetization dyn
"Almind, Mads R.",16.8,1,,"Department of Physics, Technical University of Denmark 1 , DK-2800 Kgs. Lyngby, Denmark",[12] 2023 doi:10.1063/5.0113493 Retrofittable plug-flow reactor for in situ high-temperature vibrating sample magnetometry
"Engbæk, Jakob S.",16.8,1,,"Danish Technological Institute 2 , DK-2630 Taastrup, Denmark",[12] 2023 doi:10.1063/5.0113493 Retrofittable plug-flow reactor for in situ high-temperature vibrating sample magnetometry
"Hansen, Mikkel F.",16.8,1,,"Department of Health Technology, Technical University of Denmark 3 , DK-2800 Kgs. Lyngby, Denmark",[12] 2023 doi:10.1063/5.0113493 Retrofittable plug-flow reactor for in situ high-temperature vibrating sample magnetometry
"Vendelbo, Søren B.",16.8,1,,"Danish Technological Institute 2 , DK-2630 Taastrup, Denmark",[12] 2023 doi:10.1063/5.0113493 Retrofittable plug-flow reactor for in situ high-temperature vibrating sample magnetometry
"Mortensen, Peter M.",16.8,1,,"Topsoe A/S 4 , DK-2800 Kgs. Lyngby, Denmark",[12] 2023 doi:10.1063/5.0113493 Retrofittable plug-flow reactor for in situ high-temperature vibrating sample magnetometry
"Damsgaard, Christian D.",16.8,1,,"DTU Nanolab, Technical University of Denmark 5 , DK-2800 Kgs. Lyngby, Denmark | Department of Physics, Technical University of Denmark 1 , DK-2800 Kgs. Lyngby, Denmark",[12] 2023 doi:10.1063/5.0113493 Retrofittable plug-flow reactor for in situ high-temperature vibrating sample magnetometry
"Veile, Thomas",16.8,1,,"Department of Physics, Technical University of Denmark 1 , DK-2800 Kgs. Lyngby, Denmark",[12] 2023 doi:10.1063/5.0113493 Retrofittable plug-flow reactor for in situ high-temperature vibrating sample magnetometry
"Chorkendorff, Ib",16.8,1,,"Department of Physics, Technical University of Denmark 1 , DK-2800 Kgs. Lyngby, Denmark",[12] 2023 doi:10.1063/5.0113493 Retrofittable plug-flow reactor for in situ high-temperature vibrating sample magnetometry
"Wang, Jiawei",16.8,1,,"College of Aeronautics, Northwestern Polytechnic University 1 , Xi’an 710072, China | State Key Laboratory of Laser Interaction with Matter, Northwest Institute of Nuclear Technology 2 , Xi’an 710024,",[12] 2023 doi:10.1063/5.0161015 Laser induced high temperature thermal-mechanical-oxygen coupling experimental system and 
"Feng, Guobin",16.8,1,,"State Key Laboratory of Laser Interaction with Matter, Northwest Institute of Nuclear Technology 2 , Xi’an 710024, China",[12] 2023 doi:10.1063/5.0161015 Laser induced high temperature thermal-mechanical-oxygen coupling experimental system and 
"Zhang, Jianmin",16.8,1,,"State Key Laboratory of Laser Interaction with Matter, Northwest Institute of Nuclear Technology 2 , Xi’an 710024, China",[12] 2023 doi:10.1063/5.0161015 Laser induced high temperature thermal-mechanical-oxygen coupling experimental system and 
"Wu, Lixiong",16.8,1,,"State Key Laboratory of Laser Interaction with Matter, Northwest Institute of Nuclear Technology 2 , Xi’an 710024, China",[12] 2023 doi:10.1063/5.0161015 Laser induced high temperature thermal-mechanical-oxygen coupling experimental system and 
"Wang, Na",16.8,1,,"State Key Laboratory of Laser Interaction with Matter, Northwest Institute of Nuclear Technology 2 , Xi’an 710024, China",[12] 2023 doi:10.1063/5.0161015 Laser induced high temperature thermal-mechanical-oxygen coupling experimental system and 
"Zhao, Xiaofan",16.8,1,,"State Key Laboratory of Laser Interaction with Matter, Northwest Institute of Nuclear Technology 2 , Xi’an 710024, China",[12] 2023 doi:10.1063/5.0161015 Laser induced high temperature thermal-mechanical-oxygen coupling experimental system and 
"Li, Bin",16.8,1,,"College of Aeronautics, Northwestern Polytechnic University 1 , Xi’an 710072, China",[12] 2023 doi:10.1063/5.0161015 Laser induced high temperature thermal-mechanical-oxygen coupling experimental system and 
"Sawada, H.",16.5,1,,"Department of Physics, University of Nevada Reno 1 , Reno, Nevada 89557, USA",[15] 2017 doi:10.1063/1.4985729 Two-color monochromatic x-ray imaging with a single short-pulse laser
"Daykin, T.",16.5,1,,"Department of Physics, University of Nevada Reno 1 , Reno, Nevada 89557, USA",[15] 2017 doi:10.1063/1.4985729 Two-color monochromatic x-ray imaging with a single short-pulse laser
"McLean, H. S.",16.5,1,,"Lawrence Livermore National Laboratory 2 , Livermore, California 94550, USA",[15] 2017 doi:10.1063/1.4985729 Two-color monochromatic x-ray imaging with a single short-pulse laser
"Chen, H.",16.5,1,,"Lawrence Livermore National Laboratory 2 , Livermore, California 94550, USA",[15] 2017 doi:10.1063/1.4985729 Two-color monochromatic x-ray imaging with a single short-pulse laser
"Patel, P. K.",16.5,1,,"Lawrence Livermore National Laboratory 2 , Livermore, California 94550, USA",[15] 2017 doi:10.1063/1.4985729 Two-color monochromatic x-ray imaging with a single short-pulse laser
"Ping, Y.",16.5,1,,"Lawrence Livermore National Laboratory 2 , Livermore, California 94550, USA",[15] 2017 doi:10.1063/1.4985729 Two-color monochromatic x-ray imaging with a single short-pulse laser
"Pérez, F.",16.5,1,,"Ecole Polytechnique, CNRS 3 , 91761 Palaiseau, France",[15] 2017 doi:10.1063/1.4985729 Two-color monochromatic x-ray imaging with a single short-pulse laser
"Liang, Kang",16.2,1,,"School of Power and Mechanical Engineering, Wuhan University 2 , Wuhan 430072, China | The Institute of Technological Sciences, Wuhan University 1 , Wuhan 430072, China | Wuhan University Shenzhen Res",[12] 2022 doi:10.1063/5.0076168 Optimization of molecular beam epitaxial film thickness uniformity using Monte Carlo simul
"Zhang, Zhao",16.2,1,,"The Institute of Technological Sciences, Wuhan University 1 , Wuhan 430072, China",[12] 2022 doi:10.1063/5.0076168 Optimization of molecular beam epitaxial film thickness uniformity using Monte Carlo simul
"Wu, Gai",16.2,1,,"The Institute of Technological Sciences, Wuhan University 1 , Wuhan 430072, China",[12] 2022 doi:10.1063/5.0076168 Optimization of molecular beam epitaxial film thickness uniformity using Monte Carlo simul
"Gan, Zhiyin",16.2,1,,"School of Mechanical Science & Engineering, Huazhong University of Science and Technology 4 , Wuhan 430074, China",[12] 2022 doi:10.1063/5.0076168 Optimization of molecular beam epitaxial film thickness uniformity using Monte Carlo simul
"Liu, Sheng",16.2,1,,"School of Mechanical Science & Engineering, Huazhong University of Science and Technology 4 , Wuhan 430074, China | School of Power and Mechanical Engineering, Wuhan University 2 , Wuhan 430072, China",[12] 2022 doi:10.1063/5.0076168 Optimization of molecular beam epitaxial film thickness uniformity using Monte Carlo simul
"Yu, Liping",16.2,1,,"Institute of Solid Mechanics, Beihang University , Beijing 100191, China",[12] 2022 doi:10.1063/5.0085184 Ultra-high temperature video extensometer: System development and experimental validation
"Ren, Fuguo",16.2,1,,"Institute of Solid Mechanics, Beihang University , Beijing 100191, China",[12] 2022 doi:10.1063/5.0085184 Ultra-high temperature video extensometer: System development and experimental validation
"Zhang, Xiaoying",16.2,1,,"Institute of Solid Mechanics, Beihang University , Beijing 100191, China",[12] 2022 doi:10.1063/5.0085184 Ultra-high temperature video extensometer: System development and experimental validation
"Pan, Bing",16.2,1,,"Institute of Solid Mechanics, Beihang University , Beijing 100191, China",[12] 2022 doi:10.1063/5.0085184 Ultra-high temperature video extensometer: System development and experimental validation
"Poole, S. F.",15.9,1,,"School of Physics and Astronomy, University of Nottingham , University Park, Nottingham NG7 2RD, United Kingdom",[11] 2024 doi:10.1063/5.0186155 Thermally stable Peltier controlled vacuum chamber for electrical transport measurements
"Amin, O. J.",15.9,1,,"School of Physics and Astronomy, University of Nottingham , University Park, Nottingham NG7 2RD, United Kingdom",[11] 2024 doi:10.1063/5.0186155 Thermally stable Peltier controlled vacuum chamber for electrical transport measurements
"Solomon, A.",15.9,1,,"School of Physics and Astronomy, University of Nottingham , University Park, Nottingham NG7 2RD, United Kingdom",[11] 2024 doi:10.1063/5.0186155 Thermally stable Peltier controlled vacuum chamber for electrical transport measurements
"Barton, L. X.",15.9,1,,"School of Physics and Astronomy, University of Nottingham , University Park, Nottingham NG7 2RD, United Kingdom",[11] 2024 doi:10.1063/5.0186155 Thermally stable Peltier controlled vacuum chamber for electrical transport measurements
"Campion, R. P.",15.9,1,,"School of Physics and Astronomy, University of Nottingham , University Park, Nottingham NG7 2RD, United Kingdom",[11] 2024 doi:10.1063/5.0186155 Thermally stable Peltier controlled vacuum chamber for electrical transport measurements
"Edmonds, K. W.",15.9,1,,"School of Physics and Astronomy, University of Nottingham , University Park, Nottingham NG7 2RD, United Kingdom",[11] 2024 doi:10.1063/5.0186155 Thermally stable Peltier controlled vacuum chamber for electrical transport measurements
"Wadley, P.",15.9,1,,"School of Physics and Astronomy, University of Nottingham , University Park, Nottingham NG7 2RD, United Kingdom",[11] 2024 doi:10.1063/5.0186155 Thermally stable Peltier controlled vacuum chamber for electrical transport measurements
"Floyd, Emma",15.8,1,,"AWE Aldermaston 1 , Berkshire, RG7 4PR, United Kingdom",[15] 2016 doi:10.1063/1.4962036 A high spatio-temporal resolution optical pyrometer at the ORION laser facility
"Gumbrell, Edward T.",15.8,1,,"AWE Aldermaston 1 , Berkshire, RG7 4PR, United Kingdom",[15] 2016 doi:10.1063/1.4962036 A high spatio-temporal resolution optical pyrometer at the ORION laser facility
"Fyrth, Jim",15.8,1,,"AWE Aldermaston 1 , Berkshire, RG7 4PR, United Kingdom",[15] 2016 doi:10.1063/1.4962036 A high spatio-temporal resolution optical pyrometer at the ORION laser facility
"Luis, James D.",15.8,1,,"AWE Aldermaston 1 , Berkshire, RG7 4PR, United Kingdom",[15] 2016 doi:10.1063/1.4962036 A high spatio-temporal resolution optical pyrometer at the ORION laser facility
"Skidmore, Jonathan W.",15.8,1,,"AWE Aldermaston 1 , Berkshire, RG7 4PR, United Kingdom",[15] 2016 doi:10.1063/1.4962036 A high spatio-temporal resolution optical pyrometer at the ORION laser facility
"Patankar, Siddharth",15.8,1,,"Imperial College London 2 , Prince Consort Rd, SW7 2BB, United Kingdom",[15] 2016 doi:10.1063/1.4962036 A high spatio-temporal resolution optical pyrometer at the ORION laser facility
"Giltrap, Samuel",15.8,1,,"Imperial College London 2 , Prince Consort Rd, SW7 2BB, United Kingdom",[15] 2016 doi:10.1063/1.4962036 A high spatio-temporal resolution optical pyrometer at the ORION laser facility
"Smith, Roland",15.8,1,,"Imperial College London 2 , Prince Consort Rd, SW7 2BB, United Kingdom",[15] 2016 doi:10.1063/1.4962036 A high spatio-temporal resolution optical pyrometer at the ORION laser facility
"Mauro, N. A.",15.8,1,,"North Central College 1 Department of Physics, , Naperville, Illinois 60540, USA",[15] 2016 doi:10.1063/1.4939194 Electrostatic levitation facility optimized for neutron diffraction studies of high temper
"Vogt, A. J.",15.8,1,,"Instrument and Source Division, Oak Ridge National Laboratory 2 , Oak Ridge, Tennessee 37831, USA",[15] 2016 doi:10.1063/1.4939194 Electrostatic levitation facility optimized for neutron diffraction studies of high temper
"Derendorf, K. S.",15.8,1,,"Washington University 3 Mechanical Engineering and Materials Science, , St. Louis, Missouri 63130, USA",[15] 2016 doi:10.1063/1.4939194 Electrostatic levitation facility optimized for neutron diffraction studies of high temper
"Johnson, M. L.",15.8,1,YES,"Washington University 4 Department of Physics and Institute of Materials Science and Engineering, , 1 Brookings Drive, St. Louis, Missouri 63130, USA",[15] 2016 doi:10.1063/1.4939194 Electrostatic levitation facility optimized for neutron diffraction studies of high temper
"Rustan, G. E.",15.8,1,,"Iowa State University 5 Department of Physics and Astronomy, , Ames, Iowa 50011, USA",[15] 2016 doi:10.1063/1.4939194 Electrostatic levitation facility optimized for neutron diffraction studies of high temper
"Quirinale, D. G.",15.8,1,,"Iowa State University 5 Department of Physics and Astronomy, , Ames, Iowa 50011, USA",[15] 2016 doi:10.1063/1.4939194 Electrostatic levitation facility optimized for neutron diffraction studies of high temper
"Kreyssig, A.",15.8,1,,"Division of Materials Sciences and Engineering, Ames Laboratory 6 , Ames, Iowa 50011, USA | Iowa State University 5 Department of Physics and Astronomy, , Ames, Iowa 50011, USA",[15] 2016 doi:10.1063/1.4939194 Electrostatic levitation facility optimized for neutron diffraction studies of high temper
"Lokshin, K. A.",15.8,1,,"Oak Ridge National Laboratory 8 Quantum Condensed Matter Division, , Oak Ridge, Tennessee 37831, USA | University of Tennessee 7 Department of Materials Science and Engineering, , Knoxville, Tennessee",[15] 2016 doi:10.1063/1.4939194 Electrostatic levitation facility optimized for neutron diffraction studies of high temper
"Neuefeind, J. C.",15.8,1,,"Oak Ridge National Laboratory 9 Chemical and Engineering Materials Division, , Oak Ridge, Tennessee 37831, USA",[15] 2016 doi:10.1063/1.4939194 Electrostatic levitation facility optimized for neutron diffraction studies of high temper
"Wang, Xun-Li",15.8,1,,"City University of Hong Kong 10 Department of Physics and Materials Science, , 83 Tat Chee Ave., Kowloon, Hong Kong",[15] 2016 doi:10.1063/1.4939194 Electrostatic levitation facility optimized for neutron diffraction studies of high temper
"Goldman, A. I.",15.8,1,,"Iowa State University 5 Department of Physics and Astronomy, , Ames, Iowa 50011, USA",[15] 2016 doi:10.1063/1.4939194 Electrostatic levitation facility optimized for neutron diffraction studies of high temper
"Egami, T.",15.8,1,,"Joint Institute for Neutron Sciences, University of Tennessee 11 Department of Physics and Astronomy, , Knoxville, Tennessee 37996, USA | University of Tennessee 7 Department of Materials Science and ",[15] 2016 doi:10.1063/1.4939194 Electrostatic levitation facility optimized for neutron diffraction studies of high temper
"Kelton, K. F.",15.8,1,,"Washington University 4 Department of Physics and Institute of Materials Science and Engineering, , 1 Brookings Drive, St. Louis, Missouri 63130, USA",[15] 2016 doi:10.1063/1.4939194 Electrostatic levitation facility optimized for neutron diffraction studies of high temper
"Reusch, L. M.",15.8,1,,"University of Wisconsin - Madison 1 , Madison, Wisconsin 53703, USA",[15] 2016 doi:10.1063/1.4961281 Calibration of a two-color soft x-ray diagnostic for electron temperature measurement
"Den Hartog, D. J.",15.8,1,,"University of Wisconsin - Madison 1 , Madison, Wisconsin 53703, USA",[15] 2016 doi:10.1063/1.4961281 Calibration of a two-color soft x-ray diagnostic for electron temperature measurement
"Franz, P.",15.8,1,,"Consorzio RFX 2 , Padova, Italy",[15] 2016 doi:10.1063/1.4961281 Calibration of a two-color soft x-ray diagnostic for electron temperature measurement
"Goetz, J.",15.8,1,,"University of Wisconsin - Madison 1 , Madison, Wisconsin 53703, USA",[15] 2016 doi:10.1063/1.4961281 Calibration of a two-color soft x-ray diagnostic for electron temperature measurement
"McGarry, M. B.",15.8,1,,"University of Wisconsin - Madison 1 , Madison, Wisconsin 53703, USA",[15] 2016 doi:10.1063/1.4961281 Calibration of a two-color soft x-ray diagnostic for electron temperature measurement
"Stephens, H. D.",15.8,1,,"Pierce College Fort Steilacoom 3 , Lakewood, Washington 98498, USA | University of Wisconsin - Madison 1 , Madison, Wisconsin 53703, USA",[15] 2016 doi:10.1063/1.4961281 Calibration of a two-color soft x-ray diagnostic for electron temperature measurement
