author,agg_score,n_relevant_articles,coauthor_name_collision,affiliations_seen,top_papers
"Benka, G.",60.9,2,,"Technische Universität München 1 Physik-Department, , D-85748 Garching, Germany | Technische Universität München Physik-Department, , D-85748 Garching, Germany",[38] 2016 doi:10.1063/1.4954926 Ultra-high vacuum compatible induction-heated rod casting furnace; [20] 2016 doi:10.1063/1.4967011 Ultra-high vacuum compatible preparation chain for intermetallic compounds
"Pfleiderer, C.",60.9,2,,"Technische Universität München 1 Physik-Department, , D-85748 Garching, Germany | Technische Universität München Physik-Department, , D-85748 Garching, Germany",[38] 2016 doi:10.1063/1.4954926 Ultra-high vacuum compatible induction-heated rod casting furnace; [20] 2016 doi:10.1063/1.4967011 Ultra-high vacuum compatible preparation chain for intermetallic compounds
"Zhang, Zhijie",59.7,3,,"Key Laboratory of Instrumentation Science & Dynamic Measurement, Ministry of Education, North University of China 1 , Taiyuan, Shanxi 030051, | Key Laboratory of Instrumentation Science & Dynamic Meas",[19] 2024 doi:10.1063/5.0224040 C-type two-thermocouple sensor design between 1000 and 1700 °C; [13] 2025 doi:10.1063/5.0268652 Thermocouple dynamic characteristics compensation based on improved equilibrium optimizer ; [11] 2018 doi:10.1063/1.5019965 Blind system identification of two-thermocouple sensor based on cross-relation method
"Li, Yanfeng",59.7,3,,"North China Institute of Aerospace Engineering 2 , Langfang, Hebei 065000, | School of Instrument and Electronics, North University of China 1 , Taiyuan, Shanxi 030051, China",[19] 2024 doi:10.1063/5.0224040 C-type two-thermocouple sensor design between 1000 and 1700 °C; [13] 2025 doi:10.1063/5.0268652 Thermocouple dynamic characteristics compensation based on improved equilibrium optimizer ; [11] 2018 doi:10.1063/1.5019965 Blind system identification of two-thermocouple sensor based on cross-relation method
"Steinbach, S.",59.2,2,,"Institut für Materialphysik im Weltraum, Deutsches Zentrum für Luft- und Raumfahrt (DLR) , 51170 Köln, Germany | Institut für Materialphysik im Weltraum, Deutsches Zentrum für Luft- und Raumfahrt e.V.",[26] 2019 doi:10.1063/1.5124822 ARTEC—A furnace module for directional solidification and quenching experiments in microgr; [20] 2023 doi:10.1063/5.0151523 X-radiography front tracking gradient furnace for directional solidification of bulk Al-al
"Adhikari, Daksh",57.4,1,,"Georgia Institute of Technology 1 , Atlanta, Georgia 30332,",[37] 2026 doi:10.1063/5.0299443 Automated rapid cooling of high-temperature vacuum furnaces for high throughput neutron ex
"Quirinale, Dante",57.4,1,,"Oak Ridge National Laboratory 2 , Oak Ridge, Tennessee 37830,",[37] 2026 doi:10.1063/5.0299443 Automated rapid cooling of high-temperature vacuum furnaces for high throughput neutron ex
"Radyjowski, Patryk",57.4,1,,"Advanced Cooling Technologies, Inc. 3 , Lancaster, Pennsylvania 17602,",[37] 2026 doi:10.1063/5.0299443 Automated rapid cooling of high-temperature vacuum furnaces for high throughput neutron ex
"Thurman, Zechariah",57.4,1,,"Oak Ridge National Laboratory 2 , Oak Ridge, Tennessee 37830,",[37] 2026 doi:10.1063/5.0299443 Automated rapid cooling of high-temperature vacuum furnaces for high throughput neutron ex
"Yu, Dunji",57.4,1,,"Oak Ridge National Laboratory 2 , Oak Ridge, Tennessee 37830,",[37] 2026 doi:10.1063/5.0299443 Automated rapid cooling of high-temperature vacuum furnaces for high throughput neutron ex
"Chen, Yan",57.4,1,,"Oak Ridge National Laboratory 2 , Oak Ridge, Tennessee 37830,",[37] 2026 doi:10.1063/5.0299443 Automated rapid cooling of high-temperature vacuum furnaces for high throughput neutron ex
"Mills, Rebecca",57.4,1,,"Oak Ridge National Laboratory 2 , Oak Ridge, Tennessee 37830,",[37] 2026 doi:10.1063/5.0299443 Automated rapid cooling of high-temperature vacuum furnaces for high throughput neutron ex
"Carlson, David",57.4,1,,"Advanced Cooling Technologies, Inc. 3 , Lancaster, Pennsylvania 17602,",[37] 2026 doi:10.1063/5.0299443 Automated rapid cooling of high-temperature vacuum furnaces for high throughput neutron ex
"Davis, Reese",57.4,1,,"Advanced Cooling Technologies, Inc. 3 , Lancaster, Pennsylvania 17602,",[37] 2026 doi:10.1063/5.0299443 Automated rapid cooling of high-temperature vacuum furnaces for high throughput neutron ex
"Chen, Chien-Hua",57.4,1,,"Advanced Cooling Technologies, Inc. 3 , Lancaster, Pennsylvania 17602,",[37] 2026 doi:10.1063/5.0299443 Automated rapid cooling of high-temperature vacuum furnaces for high throughput neutron ex
"Wang, Tong",57.0,2,,"College of Information and Communication Engineering, Harbin Engineering University 1 , Harbin, | Institute of High Energy Physics, Chinese Academy of Sciences 1 , Beijing 100049, | Spallation Neutron",[29] 2025 doi:10.1063/5.0268451 A multi-spectral radiation thermometry method based on MGACO-RFR emissivity model identifi; [9] 2025 doi:10.1063/5.0237249 Curved neutron beam window for large vacuum chamber of neutron diffractometer
"Lan, Tao",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Zhang, Sen",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Ding, Weixing",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Zhuang, Ge",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Wu, Zhengwei",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Mao, Wenzhe",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Chen, Chen",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Wu, Jiaren",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Wei, Zian",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Wang, Hai",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Wen, Xiaohui",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
