path,size_bytes,ext,committed
200423_Ni4N5_069/stack_test/ascii_in/SharedTriList.txt,15919670,txt,no
200423_Ni4N5_069/stack_test/ascii_in/SharedVertexList.txt,10336191,txt,no
200423_Ni4N5_069/stack_test/grain950.png,490641,png,yes
200423_Ni4N5_069/stack_test/grain950_isoview.png,57426,png,yes
200423_Ni4N5_069/stack_test/hsmooth.dream3d,415773885,dream3d,no
200423_Ni4N5_069/stack_test/hsmooth.xdmf,22813,xdmf,no
200423_Ni4N5_069/stack_test/importTest.json,1044,json,yes
200423_Ni4N5_069/stack_test/lsmooth_Ni4N5_069_Zcompress.dream3d,551860541,dream3d,no
200423_Ni4N5_069/stack_test/lsmooth_Ni4N5_069_Zcompress.xdmf,19444,xdmf,no
200423_Ni4N5_069/stack_test/quickmesh.dream3d,415460927,dream3d,no
200423_Ni4N5_069/stack_test/quickmesh.xdmf,18725,xdmf,no
200423_Ni4N5_069/stack_test/quickmesh_Zcompress.dream3d,510577709,dream3d,no
200423_Ni4N5_069/stack_test/quickmesh_Zcompress.xdmf,19124,xdmf,no
200423_Ni4N5_069/stack_test/smooth.dream3d,271484390,dream3d,no
200423_Ni4N5_069/stack_test/smooth.xdmf,10881,xdmf,no
200423_Ni4N5_069/stack_test/test.dream3d,39890027,dream3d,no
200423_Ni4N5_069/stack_test/test.xdmf,3623,xdmf,no
200423_Ni4N5_069/stack_test/xsmooth.txt,17641118,txt,no
200423_Ni4N5_069_s2/CCD_sideview.tif,6128235,tif,yes
200423_Ni4N5_069_s2/CCD_topview.tif,20202395,tif,no
200423_Ni4N5_069_s2/IPF.bmp,3358774,bmp,yes
200423_Ni4N5_069_s2/Scan1.ang,28145303,ang,no
200423_Ni4N5_069_s2/Scan1.ohp,119754693,ohp,no
200423_Ni4N5_069_s2/Scan1.osc,131855559,osc,no
200423_Ni4N5_069_s2/Scan1_ExtraSlns.txt,28084791,txt,no
200423_Ni4N5_069_s2/Scan1_IPF.tif,47157082,tif,no
200423_Ni4N5_069_s2/Scan1_Mod.ang,40851781,ang,no
200423_Ni4N5_069_s2/Scan1_Mod.h5,15257067,h5,no
200423_Ni4N5_069_s2/Scan1_Mod.osc,18411644,osc,no
200423_Ni4N5_069_s2/Scan1_Mod_Flipped.ang,55777141,ang,no
200423_Ni4N5_069_s2/Scan1_as_is_export.ang,40231781,ang,no
200423_Ni4N5_069_s2/expArea_postRotCorr.tif,5062697,tif,yes
200423_Ni4N5_069_s2/overview_PreRotationCorrection.tif,53848718,tif,no
200423_Ni4N5_069_s2/rotation_tilt_corrections.xlsx,32673,xlsx,yes
200504_Ni4N5_069/CCD_sideview.tif,6128221,tif,no
200504_Ni4N5_069/CCD_topview.tif,20202402,tif,no
200504_Ni4N5_069/GB.tif,6760584,tif,no
200504_Ni4N5_069/GB_001.tif,6760577,tif,no
200504_Ni4N5_069/GB_001_measure.tif,6760577,tif,no
200504_Ni4N5_069/GB_measure.tif,6760584,tif,no
200504_Ni4N5_069/TJ.tif,6760596,tif,yes
200504_Ni4N5_069/TJ_001.tif,6760600,tif,yes
200504_Ni4N5_069/TJs.tif,6760591,tif,no
200504_Ni4N5_069/TJs_measure.tif,6760591,tif,yes
200504_Ni4N5_069/edge.tif,6760591,tif,no
200504_Ni4N5_069/edge_001.tif,6760577,tif,no
200504_Ni4N5_069/rotation_tilt_corrections.xlsx,32761,xlsx,yes
200507_Ni4N5_081/200x.tif,6760525,tif,no
200507_Ni4N5_081/Thumbs.db,130560,db,no
200507_Ni4N5_081/im_.tif,6760542,tif,yes
200507_Ni4N5_081/im_001.tif,6760541,tif,yes
200507_Ni4N5_081/im_tilt.tif,6760563,tif,yes
200507_Ni4N5_081/overview.tif,26962568,tif,no
200507_Ni4N5_081/scan1.ang,671015,ang,no
200507_Ni4N5_081/scan1.ohp,3029751,ohp,no
200507_Ni4N5_081/scan1.osc,4160551,osc,no
200507_Ni4N5_081/scan1_ExtraSlns.txt,681225,txt,no
200507_Ni4N5_081/scan1_IPF.bmp,1024054,bmp,no
200507_Ni4N5_081/scan1_IQ.bmp,1024054,bmp,no
200511_Ni4N5_081_postEP/CCD_topview_001.tif,20202426,tif,no
200511_Ni4N5_081_postEP/CCD_topview_002.tif,20202425,tif,no
200511_Ni4N5_081_postEP/GB.tif,6760621,tif,yes
200511_Ni4N5_081_postEP/GB_001.tif,6760611,tif,no
200511_Ni4N5_081_postEP/GB_001_postScans_exp15.tif,6760611,tif,no
200511_Ni4N5_081_postEP/GB_001_postScans_exp15_autoBrightCont.tif,6760611,tif,no
200511_Ni4N5_081_postEP/GB_001_repeat_001.tif,6760611,tif,no
200511_Ni4N5_081_postEP/GB_overview_repeat.tif,6760609,tif,no
200511_Ni4N5_081_postEP/GB_repeat.tif,6760621,tif,yes
200511_Ni4N5_081_postEP/boxscan_001.ang,390822,ang,no
200511_Ni4N5_081_postEP/boxscan_001.bmp,12000054,bmp,yes
200511_Ni4N5_081_postEP/boxscan_001.ohp,1722849,ohp,no
200511_Ni4N5_081_postEP/boxscan_001.osc,2856975,osc,no
200511_Ni4N5_081_postEP/boxscan_001_repeat.JPG,58105,jpg,no
200511_Ni4N5_081_postEP/boxscan_001_repeat.ang,390823,ang,no
200511_Ni4N5_081_postEP/boxscan_001_repeat.ohp,1728225,ohp,no
200511_Ni4N5_081_postEP/boxscan_001_repeat_ExtraSlns.txt,394878,txt,no
200511_Ni4N5_081_postEP/boxscan_001andRepeat_IQvsYpos.png,162303,png,no
200511_Ni4N5_081_postEP/comments.txt,161,txt,yes
200511_Ni4N5_081_postEP/run.m,1154,m,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/Ni4N5_007.tif",3382310,tif,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/Scan14.ang",18996,ang,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/Scan14.ohp",67044,ohp,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/Scan14.osc",76150,osc,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/Scan14_ExtraSlns.txt",15438,txt,yes
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/Scan2.ang",8569,ang,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/Scan2.osc",1057243,osc,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/Scan22.ang",6438,ang,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/Scan22.ohp",11895,ohp,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/Scan22.osc",17638,osc,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/Scan22_ExtraSlns.txt",2604,txt,yes
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/Scan2_ExtraSlns.txt",0,txt,yes
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/boxscan_003a1b_0degRot.ohp",2393684,ohp,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/boxscan_003a1b_0degRot.osc",3525815,osc,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/boxscan_003a1b_0degRot.zip",79641260,zip,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/boxscan_003a1b_0degRot_ExtraSlns.txt",542097,txt,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/boxscan_003a2_ETD_0degTilt_-45degRot_twin2_5kV_800pA_5mmStgHt.tif",13482125,tif,yes
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/boxscan_003a2_ETD_0degTilt_-45degRot_twin2_5kV_800pA_5mmStgHt_001.tif",13482136,tif,yes
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/boxscan_003a2_ETD_0degTilt_-45degRot_twin2_5kV_800pA_5mmStgHt_002.tif",13482130,tif,yes
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_007/boxscan_003a2_ETD_0degTilt_-45degRot_twin2_5kV_800pA_5mmStgHt_100kx.tif",53846344,tif,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_081/im_.tif",13482123,tif,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_081/im_001.tif",13482122,tif,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_081/im_002.tif",13482128,tif,no
"200616_Ni4N5_007,081_Ni_003b2/Ni4N5_081/im_003.tif",13482132,tif,yes
